brainstorming	2	Let's make a react todo list
brainstorming	1	Let's make a react todo list
diagnosing-bugs	1	Fix this bug: the login button does nothing on Safari
diagnosing-bugs	2	Fix this bug: the login button does nothing on Safari
diagnosing-bugs	3	Fix this bug: the login button does nothing on Safari
brainstorming	3	Let's make a react todo list
using-superpowers	1	What's the fastest way to add a config option here?
none	3	Can you just quickly rename getUserData to fetchUserProfile?
none	3	What's the fastest way to add a config option here?
using-superpowers	1	Add a --json flag to the status command
brainstorming	2	Add a --json flag to the status command
?	1	Can you just quickly rename getUserData to fetchUserProfile?
using-superpowers	3	Add a --json flag to the status command
none	2	What's the fastest way to add a config option here?
?	2	Can you just quickly rename getUserData to fetchUserProfile?
